,IntensityNuclei,IntensityVirus,r,rInUm
0,34049,3252.734513,0,0
0,34001.97941,3260.338235,6,1.524
0,34128.80708,3280.684956,12,3.048
0,34084.27273,3264.313131,18,4.572
0,33982.89716,3271.643487,24,6.096
0,34049.03796,3296.01454,30,7.62
0,33970.11578,3296.683819,36,9.144
0,34025.23209,3330.660746,42,10.668
0,34009.18517,3336.937241,48,12.192
0,33937.15105,3358.610723,54,13.716
0,33824.80177,3383.462121,60,15.24
0,33824.64335,3417.873559,66,16.764
0,33704.26867,3443.475398,72,18.288
0,33720.23601,3461.904092,78,19.812
0,33628.09881,3493.929247,84,21.336
0,33572.27516,3537.475905,90,22.86
0,33559.2502,3564.949316,96,24.384
0,33442.94115,3609.783531,102,25.908
0,33446.2398,3652.067287,108,27.432
0,33407.20232,3696.529064,114,28.956
0,33333.04655,3752.032112,120,30.48
0,33339.16584,3809.396091,126,32.004
0,33296.0738,3866.36055,132,33.528
0,33292.02221,3937.579037,138,35.052
0,33247.77218,4021.021861,144,36.576
0,33216.56809,4098.398649,150,38.1
0,33192.17448,4181.129775,156,39.624
0,33092.35317,4267.284336,162,41.148
0,33034.40031,4364.533023,168,42.672
0,32963.6531,4470.454272,174,44.196
0,32888.59282,4567.191289,180,45.72
0,32840.20912,4705.543478,186,47.244
0,32797.12177,4831.077499,192,48.768
0,32717.8709,4978.252407,198,50.292
0,32618.77641,5121.592778,204,51.816
0,32515.74262,5294.717454,210,53.34
0,32412.2281,5487.01007,216,54.864
0,32279.38715,5682.782066,222,56.388
0,32186.60044,5875.009314,228,57.912
0,32111.15116,6090.37102,234,59.436
0,31967.98098,6285.651181,240,60.96
0,31870.06285,6471.376545,246,62.484
0,31765.68042,6653.431823,252,64.008
0,31658.84743,6836.562137,258,65.532
0,31531.85643,7026.435063,264,67.056
0,31481.82197,7216.078269,270,68.58
0,31367.38057,7416.472579,276,70.104
0,31256.79399,7641.305246,282,71.628
0,31151.94849,7892.359817,288,73.152
0,31060.61907,8135.372369,294,74.676
0,30879.73982,8343.337508,300,76.2
0,30677.34212,8561.727007,306,77.724
0,30470.99091,8762.831804,312,79.248
0,30246.64846,8947.994298,318,80.772
0,29994.52081,9144.793915,324,82.296
0,29786.90387,9333.887464,330,83.82
0,29559.00039,9588.352034,336,85.344
0,29336.46732,9854.105644,342,86.868
0,29062.75758,10210.16282,348,88.392
0,28839.81958,10630.25069,354,89.916
0,28655.78198,11079.01199,360,91.44
0,28502.78795,11532.43955,366,92.964
0,28374.39772,11977.51996,372,94.488
0,28271.88309,12378.87822,378,96.012
0,28116.48084,12850.84989,384,97.536
0,27896.12398,13259.89184,390,99.06
0,27654.30262,13657.19588,396,100.584
0,27485.02163,13880.33126,402,102.108
0,27317.97214,14076.58301,408,103.632
0,27196.37079,14300.21262,414,105.156
0,27037.32374,14581.43964,420,106.68
0,26961.67102,14857.70702,426,108.204
0,26914.83637,15137.35694,432,109.728
0,26894.87331,15379.68651,438,111.252
0,26730.94851,15585.79237,444,112.776
0,26385.07339,15686.05946,450,114.3
0,25838.21052,15788.73526,456,115.824
0,25289.95166,15871.41391,462,117.348
0,24889.36006,16003.62553,468,118.872
0,24368.8184,16138.07077,474,120.396
0,23962.73484,16329.16037,480,121.92
0,23858.19325,16545.69354,486,123.444
0,23608.76703,16767.23785,492,124.968
0,23323.46471,16889.47138,498,126.492
0,23230.04658,16946.16006,504,128.016
0,23119.41545,16936.49243,510,129.54
0,22780.2358,16733.91089,516,131.064
0,22146.7292,16491.7788,522,132.588
0,21741.25348,16381.65703,528,134.112
0,21383.25161,16262.8131,534,135.636
0,21091.03404,16064.0083,540,137.16
0,21091.8109,15759.03827,546,138.684
0,21020.00716,15448.97698,552,140.208
0,20686.50469,15021.65475,558,141.732
0,20066.1826,14484.73657,564,143.256
0,19278.26512,13861.86925,570,144.78
0,19063.11957,13252.08788,576,146.304
0,18917.25373,12512.13778,582,147.828
0,18496.03104,11656.04995,588,149.352
0,17886.50308,10674.68993,594,150.876
0,16895.87297,9766.750132,600,152.4
0,15985.28703,8737.083671,606,153.924
0,14615.55314,7595.258656,612,155.448
0,12280.89536,6359.013122,618,156.972
0,10025.17376,5202.60115,624,158.496
