,IntensityNuclei,IntensityVirus,r
0,33948.4693878,3249.36734694,0.0
0,34150.8493377,3266.0397351,8.0
0,34034.156746,3269.39087302,16.0
0,34022.1242857,3282.88285714,24.0
0,34037.4640487,3299.26825221,32.0
0,34046.3558559,3318.48018018,40.0
0,33951.5046083,3332.81950845,48.0
0,33900.4620506,3371.54027963,56.0
0,33818.3313953,3397.68081395,64.0
0,33734.5815845,3439.91316894,72.0
0,33682.9541785,3472.49002849,80.0
0,33637.5799569,3526.13642241,88.0
0,33534.2814741,3564.1810757,96.0
0,33516.2448339,3624.06070111,104.0
0,33465.0863605,3682.9979438,112.0
0,33386.1329923,3751.38027494,120.0
0,33373.9627724,3826.30856538,128.0
0,33348.4926094,3922.77558272,136.0
0,33317.1418991,4017.3417382,144.0
0,33275.1492594,4133.046476,152.0
0,33166.7958961,4243.43394852,160.0
0,33071.4469487,4374.0887656,168.0
0,32964.1545776,4512.28151261,176.0
0,32893.7961278,4671.13912399,184.0
0,32834.8576642,4849.56579481,192.0
0,32728.2235764,5049.62431747,200.0
0,32576.7336977,5264.76366378,208.0
0,32414.7420664,5510.53939776,216.0
0,32290.6140091,5769.30818214,224.0
0,32136.8783328,6029.22359096,232.0
0,32011.8919492,6297.81412973,240.0
0,31880.7091369,6549.45755612,248.0
0,31704.2019584,6783.65659425,256.0
0,31588.5310089,7044.06609792,264.0
0,31467.1848673,7323.96198788,272.0
0,31333.3110441,7633.79715128,280.0
0,31175.2016458,7956.98775843,288.0
0,30980.9662162,8270.16169846,296.0
0,30732.7727625,8534.93391102,304.0
0,30489.2303724,8784.68778309,312.0
0,30190.7788084,9009.60479115,320.0
0,29911.9464371,9272.47732726,328.0
0,29599.1272248,9612.31065574,336.0
0,29201.067108,10068.8216731,344.0
0,28883.8707475,10660.6887869,352.0
0,28646.2460092,11266.2156681,360.0
0,28423.3298975,11801.3662145,368.0
0,28219.9584993,12379.4964892,376.0
0,28058.0557093,12957.3128844,384.0
0,27813.1215863,13397.2545181,392.0
0,27537.9607544,13722.8655702,400.0
0,27363.4826402,14017.8260638,408.0
0,27197.3442468,14369.6677233,416.0
0,27078.4893548,14786.7002603,424.0
0,27061.0665905,15158.895064,432.0
0,26846.0378557,15407.0656882,440.0
0,26344.2589694,15545.4761695,448.0
0,25655.2167562,15654.6871966,456.0
0,24960.5814635,15755.8623151,464.0
0,24441.1461429,16013.6667641,472.0
0,24086.4401941,16357.4760201,480.0
0,23614.9357873,16649.7401897,488.0
0,23511.560934,16870.3278227,496.0
0,23431.2895356,17031.5881707,504.0
0,22822.0589393,16984.105836,512.0
0,22162.4938608,16791.2753903,520.0
0,21527.7950127,16597.0038134,528.0
0,21302.3399336,16351.7230457,536.0
0,21331.7704674,15895.9710771,544.0
0,21254.8539221,15431.742807,552.0
0,20291.2684623,14634.6121505,560.0
0,19241.4534099,13847.3482603,568.0
0,18661.8602055,13059.5778767,576.0
0,18628.5246279,12086.4952639,584.0
0,17566.6745422,10876.9381433,592.0
0,16635.7623749,9545.32243944,600.0
0,15292.0340421,8130.18945897,608.0
0,13065.1566195,6608.34405527,616.0
0,10150.528185,5073.1471183,624.0
0,7148.71950532,3686.50203507,632.0
0,4900.04310558,2639.75290878,640.0
0,3772.08773159,2063.25700878,648.0
0,3101.24151012,1689.95974831,656.0
0,2480.15745049,1409.91935099,664.0
0,2153.18514595,1202.93505767,672.0
0,1856.28846825,1038.94283554,680.0
0,1638.75175388,900.796233468,688.0
0,1297.86848085,793.359248949,696.0
0,1137.57930259,698.235348706,704.0
0,1007.92181768,624.776153419,712.0
0,904.195710381,561.85033748,720.0
0,821.548049477,515.629073501,728.0
0,773.061459746,464.199913697,736.0
0,679.954714322,426.362253395,744.0
0,649.321198684,410.76630668,752.0
0,612.115700558,389.883524489,760.0
0,575.778868456,371.205682571,768.0
0,542.331359649,353.424912281,776.0
0,511.382724068,337.538365188,784.0
0,483.989113378,323.844007454,792.0
0,457.131094425,309.972793664,800.0
0,432.608329713,298.497176368,808.0
0,415.380701352,286.997707999,816.0
0,398.896564152,276.545951466,824.0
