,IntensityNuclei,IntensityVirus,r
0,416.198475812,276.29092114,31.0
0,441.403357632,295.850452839,62.0
0,456.15088208,305.02294734,93.0
0,464.250875035,310.159256456,124.0
0,473.738242438,315.650621918,155.0
0,484.283721911,322.512952588,186.0
0,493.488458599,328.319464968,217.0
0,504.124718506,334.797677397,248.0
0,515.420937756,341.673305531,279.0
0,527.064367656,348.32208236,310.0
0,539.84437431,356.208773868,341.0
0,553.156927373,364.711606552,372.0
0,573.561610809,373.728348126,403.0
0,588.576168855,383.029255123,434.0
0,604.577509994,393.094780126,465.0
0,623.206942633,404.580063717,496.0
0,644.787344211,418.272071367,527.0
0,667.975961629,433.019998865,558.0
0,693.1450504,448.75607398,589.0
0,722.207684337,467.152625142,620.0
0,756.180440438,488.672337744,651.0
0,793.408969004,512.210461012,682.0
0,848.298566445,544.517912073,713.0
0,818.179613033,528.029644506,744.0
0,671.424683711,435.477812712,775.0
0,593.240283716,385.945795278,806.0
