,IntensityNuclei,IntensityVirus,r,rInUm
0,33942.08,3199.02,0,0
0,34238.9404,3225.642384,4,1.016
0,34260.46825,3225.130952,8,2.032
0,34329.62,3215.762857,12,3.048
0,34370.84547,3219.350993,16,4.064
0,34364.28829,3214.614414,20,5.08
0,34285.43032,3215.485452,24,6.096
0,34214.25033,3208.580132,28,7.112
0,34224.65578,3204.051342,32,8.128
0,34293.94963,3202.10703,36,9.144
0,34328.09108,3203.963947,40,10.16
0,34336.29655,3206.901724,44,11.176
0,34270.7518,3210.914605,48,12.192
0,34289.50406,3213.291513,52,13.208
0,34268.26789,3207.230402,56,14.224
0,34345.05412,3198.864691,60,15.24
0,34287.05559,3200.030211,64,16.256
0,34335.82587,3201.750993,68,17.272
0,34333.48465,3201.639203,72,18.288
0,34362.09806,3208.91573,76,19.304
0,34368.79072,3220.928468,80,20.32
0,34393.39488,3231.50093,84,21.336
0,34454.68516,3237.255394,88,22.352
0,34423.31643,3244.034221,92,23.368
0,34380.56296,3257.935825,96,24.384
0,34428.00234,3266.675517,100,25.4
0,34417.4356,3282.438979,104,26.416
0,34436.26708,3293.176726,108,27.432
0,34447.61264,3324.70241,112,28.448
0,34401.14887,3335.490401,116,29.464
0,34381.15698,3347.772846,120,30.48
0,34418.45615,3372.130599,124,31.496
0,34385.8755,3377.849189,128,32.512
0,34400.22212,3396.650268,132,33.528
0,34426.39499,3435.238205,136,34.544
0,34431.73311,3456.517802,140,35.56
0,34445.81659,3468.468341,144,36.576
0,34446.82786,3492.476695,148,37.592
0,34493.51926,3515.323598,152,38.608
0,34506.15317,3535.875095,156,39.624
0,34527.27168,3572.730524,160,40.64
0,34519.60954,3607.403404,164,41.656
0,34486.61138,3631.417896,168,42.672
0,34518.65373,3663.793654,172,43.688
0,34503.65333,3704.78878,176,44.704
0,34471.56614,3748.014017,180,45.72
0,34461.13707,3781.282882,184,46.736
0,34398.73332,3834.311792,188,47.752
0,34384.13552,3866.090349,192,48.768
0,34355.81239,3913.636601,196,49.784
0,34331.52961,3973.49921,200,50.8
0,34261.73237,4009.524058,204,51.816
0,34253.41209,4066.164835,208,52.832
0,34219.23931,4125.629602,212,53.848
0,34129.42145,4188.053526,216,54.864
0,34066.25868,4242.781753,220,55.88
0,34021.21609,4303.479273,224,56.896
0,33957.54354,4381.155321,228,57.912
0,33857.46338,4443.450467,232,58.928
0,33732.19363,4507.594807,236,59.944
0,33638.05052,4579.324094,240,60.96
0,33539.4288,4650.125728,244,61.976
0,33430.40708,4723.509172,248,62.992
0,33335.10908,4802.361111,252,64.008
0,33272.40188,4867.286948,256,65.024
0,33167.59735,4939.223,260,66.04
0,33061.65143,5017.152099,264,67.056
0,32957.20602,5110.414983,268,68.072
0,32812.32592,5209.333915,272,69.088
0,32726.87407,5326.81761,276,70.104
0,32598.56856,5446.793956,280,71.12
0,32428.77262,5603.993448,284,72.136
0,32265.08886,5748.680383,288,73.152
0,32129.02362,5891.503461,292,74.168
0,31928.93432,6057.970631,296,75.184
0,31720.47332,6217.53562,300,76.2
0,31534.24954,6376.252411,304,77.216
0,31309.8903,6575.510649,308,78.232
0,31113.96685,6761.366443,312,79.248
0,30888.4645,6955.242895,316,80.264
0,30673.21319,7185.522851,320,81.28
0,30535.00414,7410.491841,324,82.296
0,30508.48042,7675.835106,328,83.312
0,30480.11819,7955.800762,332,84.328
0,30337.65842,8169.798893,336,85.344
0,30195.145,8461.321686,340,86.36
0,29913.18925,8770.243824,344,87.376
0,29624.10885,8956.001249,348,88.392
0,29357.37141,9094.401736,352,89.408
0,29046.76594,9330.31082,356,90.424
0,28620.85929,9522.890817,360,91.44
0,28238.39283,9677.508478,364,92.456
0,27878.67387,9979.537485,368,93.472
0,27646.79353,10370.77171,372,94.488
0,27326.0714,10858.81971,376,95.504
0,27097.7709,11470.60067,380,96.52
0,26708.57133,12148.24009,384,97.536
0,26235.2061,12799.30512,388,98.552
0,25808.86543,13349.15471,392,99.568
0,25420.8671,14028.61783,396,100.584
0,24935.66947,14533.67393,400,101.6
0,24527.02594,14971.6094,404,102.616
0,24137.1621,15543.15181,408,103.632
0,24007.00038,16245.08981,412,104.648
0,23957.63467,16988.57311,416,105.664
0,23759.9736,17705.13645,420,106.68
0,23500.4652,18351.38485,424,107.696
0,23343.27695,18977.19215,428,108.712
0,23259.7362,19223.76338,432,109.728
0,23170.29797,19437.4097,436,110.744
0,23280.51241,19777.65309,440,111.76
0,23177.39964,20078.89745,444,112.776
0,22599.32579,20222.89232,448,113.792
0,21997.56333,20326.01453,452,114.808
0,21642.99844,20377.69183,456,115.824
0,21249.37495,20035.59836,460,116.84
0,20774.85501,19900.51191,464,117.856
0,20074.72468,19652.95465,468,118.872
0,19545.88101,19242.61025,472,119.888
0,19076.62177,18958.75688,476,120.904
0,18386.52171,18043.62929,480,121.92
0,16900.71304,16813.039,484,122.936
0,15735.31379,15534.91354,488,123.952
0,13984.85576,14057.7304,492,124.968
0,12040.91138,12487.44663,496,125.984
