,IntensityNuclei,IntensityVirus,r
0,130.630200756,9.98155368054,0.0
0,129.864914588,10.08792581,16.0
0,129.671512448,10.2953667006,32.0
0,129.187043515,10.6248135471,48.0
0,128.352702123,11.0653751592,64.0
0,126.936435725,11.6753786668,80.0
0,124.850152929,12.6535460497,96.0
0,122.406517076,14.1983593497,112.0
0,119.71116496,16.6790260702,128.0
0,116.631496451,20.4912688127,144.0
0,113.053467259,25.1451382204,160.0
0,108.636384537,30.7150686094,176.0
0,103.05570803,36.0111941755,192.0
0,95.9330537892,37.6404412468,208.0
0,86.8156007616,37.6434753718,224.0
0,76.1660057794,35.9040815761,240.0
0,66.127195429,32.6872726811,256.0
0,56.51432959,30.2673279057,272.0
0,48.1671245106,27.7048681844,288.0
0,41.2566068621,24.7973429696,304.0
0,35.6815733911,21.9425547637,320.0
