,IntensityNuclei,IntensityVirus,r
0,95.7311071034,32.3536564082,0.0
0,95.9140354383,33.1745853317,16.0
0,95.8440789131,34.5831756033,32.0
0,95.9288097957,36.531071302,48.0
0,95.9236418507,39.0067018723,64.0
0,95.5854349003,41.6389090106,80.0
0,94.9080261773,44.2355515135,96.0
0,93.8913481593,47.1790310626,112.0
0,92.6577645954,50.3695007732,128.0
0,91.1752228019,53.598488143,144.0
0,89.2844386998,56.6808838588,160.0
0,87.1183551724,58.7050086012,176.0
0,84.7121276368,59.39531043,192.0
0,82.0120292334,58.9011542835,208.0
0,78.768168412,57.4402166252,224.0
0,74.9452543875,54.7021898698,240.0
0,70.4423615096,49.9259296326,256.0
0,65.1612459852,43.6807998292,272.0
0,58.2988919248,36.4148728128,288.0
0,49.2303725755,28.3354049171,304.0
0,38.1744080145,21.0246076962,320.0
